corpus	smoothing	ngram	type	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008
British English	1	lisp	EXPANSION	4.141e-07	3.757e-07	3.583e-07	3.707e-07	3.984e-07	3.736e-07	3.396e-07	3.287e-07	3.17e-07	3.154e-07	3.007e-07	2.736e-07	2.827e-07	2.759e-07	3.084e-07	3.092e-07	3.113e-07	3.045e-07	2.709e-07	2.518e-07	2.224e-07	2.521e-07	2.373e-07	2.169e-07	1.866e-07	1.878e-07	1.986e-07	1.866e-07	1.885e-07	1.957e-07	2.051e-07	2.034e-07	1.996e-07	1.998e-07	2.138e-07	2.106e-07	2.321e-07	2.317e-07	2.378e-07	2.266e-07	2.274e-07	2.205e-07	2.04e-07	2.069e-07	2.091e-07	2.138e-07	1.964e-07	2.038e-07	2.01e-07	1.929e-07	1.708e-07	1.763e-07	1.862e-07	1.916e-07	1.898e-07	2.122e-07	2.501e-07	2.903e-07	3.024e-07
British English	1	Lisp	EXPANSION	9.401e-09	7.651e-09	8.299e-09	1.382e-08	1.869e-08	1.477e-08	1.177e-08	1.275e-08	1.655e-08	1.311e-08	9.628e-09	6.366e-09	7.331e-09	9.174e-09	1.078e-08	1.287e-08	1.537e-08	1.568e-08	1.679e-08	1.185e-08	9.786e-09	8.854e-09	9.193e-09	1.088e-08	9.448e-09	8.703e-09	1.46e-08	1.497e-08	6.209e-08	1.213e-07	1.257e-07	1.021e-07	1.217e-07	1.836e-07	3.03e-07	3.451e-07	6.356e-07	7.366e-07	9.255e-07	1.109e-06	1.289e-06	1.14e-06	1.146e-06	8.838e-07	7.707e-07	3.351e-07	4.167e-07	4.689e-07	4.147e-07	2.488e-07	1.911e-07	1.518e-07	2.459e-07	2.394e-07	2.387e-07	8.76e-08	6.756e-08	6.837e-08	6.804e-08
French	1	algol (All)	CASE_INSENSITIVE	4.681e-07	4.254e-07	4.987e-07	5.137e-07	6.276e-07	5.561e-07	4.457e-07	3.236e-07	3.157e-07	3.47e-07	4.209e-07	7.004e-07	9.756e-07	1.571e-06	1.839e-06	1.789e-06	1.438e-06	9.886e-07	8.801e-07	6.325e-07	8.729e-07	8.89e-07	8.531e-07	5.543e-07	4.733e-07	4.79e-07	3.552e-07	4.777e-07	4.074e-07	4.957e-07	3.169e-07	3.347e-07	2.185e-07	3.31e-07	2.644e-07	2.57e-07	5.651e-08	7.579e-08	7.943e-08	1.056e-07	8.545e-08	1.11e-07	1.025e-07	1.234e-07	1.01e-07	8.929e-08	6.139e-08	4.61e-08	3.392e-08	3.099e-08	3.471e-08	4.133e-08	2.898e-08	3.335e-08	2.779e-08	3.349e-08	4.027e-08	4.092e-08	4.896e-08
French	1	Algol	EXPANSION	4.503e-07	4.135e-07	4.735e-07	4.958e-07	6.051e-07	5.447e-07	4.372e-07	3.181e-07	2.874e-07	2.847e-07	3.11e-07	4.088e-07	5.29e-07	6.191e-07	7.438e-07	7.04e-07	6.751e-07	4.855e-07	4.892e-07	3.994e-07	6.262e-07	6.313e-07	6.369e-07	3.575e-07	2.881e-07	2.857e-07	2.298e-07	1.862e-07	1.38e-07	2.189e-07	2.327e-07	2.557e-07	1.552e-07	1.28e-07	6.688e-08	6.189e-08	3.86e-08	5.748e-08	6.576e-08	7.68e-08	6.045e-08	8.312e-08	8.809e-08	1.091e-07	8.891e-08	7.557e-08	4.791e-08	3.521e-08	2.81e-08	1.958e-08	2.398e-08	2.768e-08	2.463e-08	1.706e-08	1.226e-08	1.528e-08	3.402e-08	3.799e-08	4.857e-08
French	1	ALGOL	EXPANSION	2.995e-09	1.997e-09	1.624e-08	1.796e-08	2.251e-08	9.832e-09	6.927e-09	2.383e-09	2.531e-08	5.744e-08	1.024e-07	2.816e-07	4.329e-07	9.227e-07	1.054e-06	1.038e-06	7.185e-07	4.685e-07	3.554e-07	2.021e-07	2.134e-07	2.271e-07	1.936e-07	1.792e-07	1.682e-07	1.766e-07	1.11e-07	2.841e-07	2.638e-07	2.683e-07	7.413e-08	7e-08	5.877e-08	2.015e-07	1.956e-07	1.932e-07	1.65e-08	1.737e-08	1.237e-08	1.48e-08	9.179e-09	8.735e-09	8.028e-09	9.771e-09	1.166e-08	1.255e-08	1.271e-08	9.79e-09	4.923e-09	9.952e-09	9.59e-09	1.119e-08	2.45e-09	1.411e-08	1.497e-08	1.668e-08	4.993e-09	1.963e-09	3.858e-10
French	1	algol	EXPANSION	1.486e-08	9.91e-09	8.986e-09	0	0	1.573e-09	1.573e-09	3.131e-09	2.959e-09	4.935e-09	7.568e-09	1.003e-08	1.362e-08	2.87e-08	4.125e-08	4.691e-08	4.403e-08	3.46e-08	3.561e-08	3.097e-08	3.328e-08	3.057e-08	2.261e-08	1.764e-08	1.707e-08	1.672e-08	1.436e-08	7.478e-09	5.551e-09	8.512e-09	1.002e-08	9.013e-09	4.576e-09	1.461e-09	1.898e-09	1.872e-09	1.411e-09	9.386e-10	1.308e-09	1.402e-08	1.582e-08	1.914e-08	6.423e-09	4.557e-09	3.945e-10	1.172e-09	7.772e-10	1.098e-09	8.945e-10	1.458e-09	1.137e-09	2.463e-09	1.899e-09	2.177e-09	5.532e-10	1.528e-09	1.25e-09	9.749e-10	0
French	1	fortran (All)	CASE_INSENSITIVE	4.158e-09	5.678e-09	6.705e-09	7.634e-09	4.728e-09	1.508e-08	1.496e-08	6.406e-08	6.39e-08	1.224e-07	9.065e-08	1.849e-07	2.798e-07	4.471e-07	5.383e-07	5.505e-07	6.872e-07	8.19e-07	9.837e-07	9.841e-07	1.118e-06	1.251e-06	1.194e-06	9.827e-07	8.226e-07	7.524e-07	6.858e-07	8.129e-07	7.377e-07	7.975e-07	5.889e-07	7.641e-07	7.778e-07	1.044e-06	1.006e-06	9.892e-07	7.109e-07	5.963e-07	4.6e-07	3.671e-07	3.846e-07	3.57e-07	4.821e-07	4.331e-07	3.978e-07	2.305e-07	2.111e-07	2.043e-07	1.659e-07	1.09e-07	9.597e-08	8.611e-08	7.196e-08	8.124e-08	7.89e-08	8.946e-08	7.842e-08	8.231e-08	7.814e-08
French	1	FORTRAN	EXPANSION	2.772e-09	1.848e-09	0	9.287e-10	9.287e-10	7.219e-09	6.29e-09	5.227e-08	4.808e-08	5.598e-08	2.138e-08	7.559e-08	1.49e-07	2.634e-07	3.128e-07	2.852e-07	2.779e-07	3.294e-07	3.945e-07	4.279e-07	4.968e-07	6.333e-07	6.026e-07	5.041e-07	4.52e-07	4.31e-07	3.962e-07	5.51e-07	5.354e-07	5.68e-07	3.469e-07	4.006e-07	4.122e-07	6.145e-07	5.671e-07	4.913e-07	2.426e-07	2.047e-07	1.962e-07	1.561e-07	1.447e-07	1.095e-07	1.046e-07	1.037e-07	9.962e-08	7.622e-08	7.368e-08	7.147e-08	6.079e-08	3.68e-08	3.479e-08	3.037e-08	2.56e-08	3.776e-08	3.869e-08	3.888e-08	2.572e-08	2.414e-08	2.195e-08
French	1	Fortran	EXPANSION	1.386e-09	3.83e-09	5.756e-09	5.756e-09	2.849e-09	7.076e-09	7.886e-09	1.1e-08	1.513e-08	6.504e-08	6.551e-08	1.062e-07	1.273e-07	1.821e-07	2.185e-07	2.55e-07	3.916e-07	4.729e-07	5.675e-07	5.283e-07	5.838e-07	5.801e-07	5.535e-07	4.491e-07	3.443e-07	3.054e-07	2.774e-07	2.529e-07	1.927e-07	2.135e-07	2.204e-07	3.414e-07	3.429e-07	4.029e-07	4.104e-07	4.732e-07	4.466e-07	3.742e-07	2.461e-07	2.015e-07	2.096e-07	2.16e-07	3.358e-07	3.064e-07	2.802e-07	1.456e-07	1.203e-07	1.16e-07	8.897e-08	6.638e-08	5.496e-08	4.99e-08	4.254e-08	3.939e-08	3.692e-08	4.439e-08	4.691e-08	5.043e-08	4.969e-08
French	1	fortran	EXPANSION	0	0	9.497e-10	9.497e-10	9.497e-10	7.863e-10	7.863e-10	7.863e-10	7.001e-10	1.359e-09	3.754e-09	3.054e-09	3.509e-09	1.649e-09	6.96e-09	1.024e-08	1.769e-08	1.665e-08	2.173e-08	2.784e-08	3.752e-08	3.757e-08	3.768e-08	2.95e-08	2.629e-08	1.602e-08	1.222e-08	9.002e-09	9.603e-09	1.602e-08	2.161e-08	2.207e-08	2.268e-08	2.692e-08	2.848e-08	2.47e-08	2.168e-08	1.745e-08	1.771e-08	9.559e-09	3.029e-08	3.147e-08	4.172e-08	2.301e-08	1.793e-08	8.641e-09	1.711e-08	1.681e-08	1.61e-08	5.828e-09	6.221e-09	5.842e-09	3.823e-09	4.089e-09	3.288e-09	6.183e-09	5.782e-09	7.741e-09	6.493e-09
